id,name,description,amount,isMandatory,isRefundable
7251,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7194,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7252,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7316,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7308,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7332,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7328,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7327,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7321,Screening Fee,An administrative fee for processing the tenant,5500,True,False
7309,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6716,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6726,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6847,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6778,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6729,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6699,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6718,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6689,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6843,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6759,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6603,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6834,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6821,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6852,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6835,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6824,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6739,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6765,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6830,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6795,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6725,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6837,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6703,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6594,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6738,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6712,Screening Fee,An administrative fee for processing the tenant,5500,True,False
6822,Screening Fee,An administrative fee for processing the tenant,5500,True,False
9306,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9313,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9185,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9259,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9282,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9177,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9202,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9360,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9244,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9314,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9297,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9188,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9298,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9234,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9245,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9318,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9174,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9215,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9220,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9256,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9310,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9252,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9254,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9233,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9266,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9294,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9240,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9326,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9295,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9292,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9170,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9204,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9324,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9173,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9218,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9196,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9296,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9221,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9269,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9238,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9179,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9312,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9316,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9230,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9301,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9181,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9272,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9203,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9165,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9237,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9264,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9317,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9231,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9239,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9311,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9262,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9243,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9293,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9164,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9328,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9241,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9277,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9290,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9217,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9286,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9249,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9261,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9309,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9166,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9161,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9284,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9327,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9224,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9251,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9175,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9304,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9280,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9189,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9291,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9219,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9263,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9271,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9281,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9187,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9190,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9300,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9325,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9270,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9232,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9253,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9198,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9276,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9315,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9308,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9265,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9213,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9191,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9330,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9289,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9197,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9260,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9320,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9279,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9273,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9359,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9186,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9321,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9258,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9226,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9208,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9323,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9227,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9199,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9302,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9178,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9319,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9207,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9167,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9211,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9228,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9247,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9162,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9307,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9193,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9194,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9250,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9169,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9163,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9257,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9236,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9206,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9172,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9322,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9255,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9210,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9235,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9209,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9267,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9223,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9216,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9278,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9176,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9305,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9183,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9214,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9246,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9201,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9268,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9303,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9275,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9182,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9274,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9242,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9248,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9195,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9285,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9192,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9299,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9212,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9184,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9168,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9200,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9283,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9329,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9171,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9205,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9225,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9229,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9222,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9180,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9719,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9612,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9720,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9491,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9492,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9838,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9685,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9771,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9647,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9661,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9626,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9673,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9506,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9844,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9571,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9584,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9761,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9754,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9624,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9738,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9715,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9634,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9592,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9633,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9631,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9464,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9654,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9694,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9471,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9590,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9822,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9657,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9707,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9577,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9767,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9775,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9745,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9641,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9556,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9498,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9474,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9794,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9557,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9749,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9757,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9691,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9479,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9511,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9514,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9548,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9462,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9639,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9488,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9705,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9721,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9660,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9703,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9792,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9559,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9640,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9680,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9611,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9594,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9728,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9684,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9676,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9742,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9697,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9833,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9564,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9529,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9778,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9469,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9509,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9717,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9698,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9483,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9619,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9682,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9579,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9658,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9581,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9867,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9659,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9637,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9837,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9518,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9465,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9655,Screening Fee,An administrative fee for processing the tenant,4500,True,False
9849,Screening Fee,An administrative fee for processing the tenant,4500,True,False
