id,propertyId,fullAddress,roomNumber,occupancyType,bedrooms,listingSqft,unitSqft,availableDate,minimumStay,minimumPrice,maximumPrice
9582,ENTUS-100017982,"70 Richmond Ave, 610, Houston, TX, 77006 USA",610,PRIVATE,0,0.0,,2024-06-15,3,145500,145500
9706,ENTUS-100017982,"70 Richmond Ave, 819, Houston, TX, 77006 USA",819,PRIVATE,0,0.0,,2024-06-15,3,162500,162500
9791,ENTUS-100017982,"70 Richmond Ave, 956-4, Houston, TX, 77006 USA",956-4,SHARED,4,,,2024-06-15,3,131500,131500
9830,ENTUS-100017982,"70 Richmond Ave, 521-1, Houston, TX, 77006 USA",521-1,SHARED,2,,,2024-06-15,3,128500,128500
9735,ENTUS-100017982,"70 Richmond Ave, 856-1, Houston, TX, 77006 USA",856-1,SHARED,4,,,2024-06-15,3,132500,132500
9539,ENTUS-100017982,"70 Richmond Ave, 532, Houston, TX, 77006 USA",532,PRIVATE,0,0.0,,2024-06-15,3,160500,160500
9460,ENTUS-100017982,"70 Richmond Ave, 402-2, Houston, TX, 77006 USA",402-2,SHARED,3,,,2024-06-15,3,123500,123500
9554,ENTUS-100017982,"70 Richmond Ave, 556-4, Houston, TX, 77006 USA",556-4,SHARED,4,,,2024-06-15,3,130000,130000
9520,ENTUS-100017982,"70 Richmond Ave, 507-2, Houston, TX, 77006 USA",507-2,SHARED,3,,,2024-06-15,3,121500,121500
9732,ENTUS-100017982,"70 Richmond Ave, 856-2, Houston, TX, 77006 USA",856-2,SHARED,4,,,2024-06-15,3,125000,125000
9541,ENTUS-100017982,"70 Richmond Ave, 536, Houston, TX, 77006 USA",536,PRIVATE,0,0.0,,2024-06-15,3,160500,160500
9495,ENTUS-100017982,"70 Richmond Ave, 454, Houston, TX, 77006 USA",454,PRIVATE,0,0.0,,2024-06-15,3,150000,150000
9476,ENTUS-100017982,"70 Richmond Ave, 424, Houston, TX, 77006 USA",424,PRIVATE,0,0.0,,2024-06-15,3,160000,160000
9570,ENTUS-100017982,"70 Richmond Ave, 561-1, Houston, TX, 77006 USA",561-1,SHARED,3,,,2024-06-15,3,122000,122000
9726,ENTUS-100017982,"70 Richmond Ave, 843, Houston, TX, 77006 USA",843,PRIVATE,0,0.0,,2024-06-15,3,145500,145500
9524,ENTUS-100017982,"70 Richmond Ave, 510, Houston, TX, 77006 USA",510,PRIVATE,0,0.0,,2024-06-15,3,145000,145000
9727,ENTUS-100017982,"70 Richmond Ave, 844, Houston, TX, 77006 USA",844,PRIVATE,0,0.0,,2024-06-15,3,155500,155500
9718,ENTUS-100017982,"70 Richmond Ave, 830, Houston, TX, 77006 USA",830,PRIVATE,0,0.0,,2024-06-15,3,162500,162500
9625,ENTUS-100017982,"70 Richmond Ave, 660-3, Houston, TX, 77006 USA",660-3,SHARED,4,,,2024-06-15,3,124000,124000
9760,ENTUS-100017982,"70 Richmond Ave, 907-1, Houston, TX, 77006 USA",907-1,SHARED,3,,,2024-06-15,3,123500,123500
9652,ENTUS-100017982,"70 Richmond Ave, 725, Houston, TX, 77006 USA",725,PRIVATE,0,0.0,,2024-06-15,3,148000,148000
9759,ENTUS-100017982,"70 Richmond Ave, 907-3, Houston, TX, 77006 USA",907-3,SHARED,3,,,2024-06-15,3,125500,125500
9629,ENTUS-100017982,"70 Richmond Ave, 661-3, Houston, TX, 77006 USA",661-3,SHARED,3,,,2024-06-15,3,124500,124500
9569,ENTUS-100017982,"70 Richmond Ave, 561-3, Houston, TX, 77006 USA",561-3,SHARED,3,,,2024-06-15,3,124000,124000
9821,ENTUS-100017982,"70 Richmond Ave, 427-2, Houston, TX, 77006 USA",427-2,SHARED,2,,,2024-06-15,3,122000,122000
9473,ENTUS-100017982,"70 Richmond Ave, 418, Houston, TX, 77006 USA",418,PRIVATE,0,0.0,,2024-06-15,3,160000,160000
9752,ENTUS-100017982,"70 Richmond Ave, 902-2, Houston, TX, 77006 USA",902-2,SHARED,3,,,2024-06-15,3,125000,125000
9482,ENTUS-100017982,"70 Richmond Ave, 430, Houston, TX, 77006 USA",430,PRIVATE,0,0.0,,2024-06-15,3,160000,160000
9866,ENTUS-100017982,"70 Richmond Ave, 946-1, Houston, TX, 77006 USA",946-1,SHARED,2,,,2024-06-15,3,128000,128000
9841,ENTUS-100017982,"70 Richmond Ave, 646-2, Houston, TX, 77006 USA",646-2,SHARED,2,,,2024-06-15,3,127000,127000
9550,ENTUS-100017982,"70 Richmond Ave, 552, Houston, TX, 77006 USA",552,PRIVATE,0,0.0,,2024-06-15,3,150500,150500
9859,ENTUS-100017982,"70 Richmond Ave, 859-2, Houston, TX, 77006 USA",859-2,SHARED,2,,,2024-06-15,3,124000,124000
9497,ENTUS-100017982,"70 Richmond Ave, 456-2, Houston, TX, 77006 USA",456-2,SHARED,4,,,2024-06-15,3,123000,123000
9856,ENTUS-100017982,"70 Richmond Ave, 827-1, Houston, TX, 77006 USA",827-1,SHARED,2,,,2024-06-15,3,124000,124000
9494,ENTUS-100017982,"70 Richmond Ave, 452, Houston, TX, 77006 USA",452,PRIVATE,0,0.0,,2024-06-15,3,150000,150000
9568,ENTUS-100017982,"70 Richmond Ave, 561-2, Houston, TX, 77006 USA",561-2,SHARED,3,,,2024-06-15,3,121500,121500
9851,ENTUS-100017982,"70 Richmond Ave, 759-2, Houston, TX, 77006 USA",759-2,SHARED,2,,,2024-06-15,3,123500,123500
9711,ENTUS-100017982,"70 Richmond Ave, 824, Houston, TX, 77006 USA",824,PRIVATE,0,0.0,,2024-06-15,3,162500,162500
9610,ENTUS-100017982,"70 Richmond Ave, 652, Houston, TX, 77006 USA",652,PRIVATE,0,0.0,,2024-06-15,3,151000,151000
9618,ENTUS-100017982,"70 Richmond Ave, 657-1, Houston, TX, 77006 USA",657-1,SHARED,3,,,2024-06-15,3,122500,122500
9668,ENTUS-100017982,"70 Richmond Ave, 745, Houston, TX, 77006 USA",745,PRIVATE,0,0.0,,2024-06-15,3,168500,168500
9733,ENTUS-100017982,"70 Richmond Ave, 856-3, Houston, TX, 77006 USA",856-3,SHARED,4,,,2024-06-15,3,125000,125000
9663,ENTUS-100017982,"70 Richmond Ave, 740, Houston, TX, 77006 USA",740,PRIVATE,0,0.0,,2024-06-15,3,151500,151500
9603,ENTUS-100017982,"70 Richmond Ave, 640, Houston, TX, 77006 USA",640,PRIVATE,0,0.0,,2024-06-15,3,151000,151000
9566,ENTUS-100017982,"70 Richmond Ave, 560-4, Houston, TX, 77006 USA",560-4,SHARED,4,,,2024-06-15,3,130000,130000
9615,ENTUS-100017982,"70 Richmond Ave, 656-1, Houston, TX, 77006 USA",656-1,SHARED,4,,,2024-06-15,3,131500,131500
9734,ENTUS-100017982,"70 Richmond Ave, 856-4, Houston, TX, 77006 USA",856-4,SHARED,4,,,2024-06-15,3,131500,131500
9858,ENTUS-100017982,"70 Richmond Ave, 846-1, Houston, TX, 77006 USA",846-1,SHARED,2,,,2024-06-15,3,128000,128000
9558,ENTUS-100017982,"70 Richmond Ave, 557-1, Houston, TX, 77006 USA",557-1,SHARED,3,,,2024-06-15,3,122000,122000
9478,ENTUS-100017982,"70 Richmond Ave, 426-2, Houston, TX, 77006 USA",426-2,SHARED,3,,,2024-06-15,3,130000,130000
9636,ENTUS-100017982,"70 Richmond Ave, 705, Houston, TX, 77006 USA",705,PRIVATE,0,0.0,,2024-06-15,3,144000,144000
9586,ENTUS-100017982,"70 Richmond Ave, 619, Houston, TX, 77006 USA",619,PRIVATE,0,0.0,,2024-06-15,3,161000,161000
9504,ENTUS-100017982,"70 Richmond Ave, 458-3, Houston, TX, 77006 USA",458-3,SHARED,4,,,2024-06-15,3,123000,123000
9591,ENTUS-100017982,"70 Richmond Ave, 624, Houston, TX, 77006 USA",624,PRIVATE,0,0.0,,2024-06-15,3,161000,161000
9643,ENTUS-100017982,"70 Richmond Ave, 712, Houston, TX, 77006 USA",712,PRIVATE,0,0.0,,2024-06-15,3,179500,179500
9804,ENTUS-100017982,"70 Richmond Ave, 960-1, Houston, TX, 77006 USA",960-1,SHARED,4,,,2024-06-15,3,132500,132500
9662,ENTUS-100017982,"70 Richmond Ave, 738, Houston, TX, 77006 USA",738,PRIVATE,0,0.0,,2024-06-15,3,169000,169000
9616,ENTUS-100017982,"70 Richmond Ave, 657-2, Houston, TX, 77006 USA",657-2,SHARED,3,,,2024-06-15,3,122000,122000
9468,ENTUS-100017982,"70 Richmond Ave, 408, Houston, TX, 77006 USA",408,PRIVATE,0,0.0,,2024-06-15,3,154000,154000
9714,ENTUS-100017982,"70 Richmond Ave, 826-3, Houston, TX, 77006 USA",826-3,SHARED,3,,,2024-06-15,3,135000,135000
9517,ENTUS-100017982,"70 Richmond Ave, 504, Houston, TX, 77006 USA",504,PRIVATE,0,0.0,,2024-06-15,3,154500,154500
9790,ENTUS-100017982,"70 Richmond Ave, 956-3, Houston, TX, 77006 USA",956-3,SHARED,4,,,2024-06-15,3,125000,125000
9840,ENTUS-100017982,"70 Richmond Ave, 627-1, Houston, TX, 77006 USA",627-1,SHARED,2,,,2024-06-15,3,123000,123000
9510,ENTUS-100017982,"70 Richmond Ave, 460-3, Houston, TX, 77006 USA",460-3,SHARED,4,,,2024-06-15,3,123000,123000
9864,ENTUS-100017982,"70 Richmond Ave, 927-1, Houston, TX, 77006 USA",927-1,SHARED,2,,,2024-06-15,3,124000,124000
