id,name,months,amount,concessionsApplied
9087,4 Months,4,147750,[]
9087,3 Months,3,147750,[]
9068,12 Months,12,124379,['1 Month off 12 Months']
9068,11 Months,11,141375,[]
9068,10 Months,10,141375,[]
9068,9 Months,9,141375,[]
9068,8 Months,8,141375,[]
9068,7 Months,7,141375,[]
9068,6 Months,6,130754,['2 Weeks off 6 Months']
9068,5 Months,5,147750,[]
9068,4 Months,4,147750,[]
9068,3 Months,3,147750,[]
9062,12 Months,12,124379,['1 Month off 12 Months']
9062,11 Months,11,141375,[]
9062,10 Months,10,141375,[]
9062,9 Months,9,141375,[]
9062,8 Months,8,141375,[]
9062,7 Months,7,141375,[]
9062,6 Months,6,130754,['2 Weeks off 6 Months']
9062,5 Months,5,147750,[]
9062,4 Months,4,147750,[]
9062,3 Months,3,147750,[]
9073,12 Months,12,124379,['1 Month off 12 Months']
9073,11 Months,11,141375,[]
9073,10 Months,10,141375,[]
9073,9 Months,9,141375,[]
9073,8 Months,8,141375,[]
9073,7 Months,7,141375,[]
9073,6 Months,6,130754,['2 Weeks off 6 Months']
9073,5 Months,5,147750,[]
9073,4 Months,4,147750,[]
9073,3 Months,3,147750,[]
9053,12 Months,12,124379,['1 Month off 12 Months']
9053,11 Months,11,141375,[]
9053,10 Months,10,141375,[]
9053,9 Months,9,141375,[]
9053,8 Months,8,141375,[]
9053,7 Months,7,141375,[]
9053,6 Months,6,130754,['2 Weeks off 6 Months']
9053,5 Months,5,147750,[]
9053,4 Months,4,147750,[]
9053,3 Months,3,147750,[]
9065,12 Months,12,124379,['1 Month off 12 Months']
9065,11 Months,11,141375,[]
9065,10 Months,10,141375,[]
9065,9 Months,9,141375,[]
9065,8 Months,8,141375,[]
9065,7 Months,7,141375,[]
9065,6 Months,6,130754,['2 Weeks off 6 Months']
9065,5 Months,5,147750,[]
9065,4 Months,4,147750,[]
9065,3 Months,3,147750,[]
9085,12 Months,12,115212,['1 Month off 12 Months']
9085,11 Months,11,130875,[]
9085,10 Months,10,130875,[]
9085,9 Months,9,130875,[]
9085,8 Months,8,130875,[]
9085,7 Months,7,130875,[]
9085,6 Months,6,121087,['2 Weeks off 6 Months']
9085,5 Months,5,136750,[]
9085,4 Months,4,136750,[]
9085,3 Months,3,136750,[]
9094,12 Months,12,124379,['1 Month off 12 Months']
9094,11 Months,11,141375,[]
9094,10 Months,10,141375,[]
9094,9 Months,9,141375,[]
9094,8 Months,8,141375,[]
9094,7 Months,7,141375,[]
9094,6 Months,6,130754,['2 Weeks off 6 Months']
9094,5 Months,5,147750,[]
9094,4 Months,4,147750,[]
9094,3 Months,3,147750,[]
9058,12 Months,12,124379,['1 Month off 12 Months']
9058,11 Months,11,141375,[]
9058,10 Months,10,141375,[]
9058,9 Months,9,141375,[]
9058,8 Months,8,141375,[]
9058,7 Months,7,141375,[]
9058,6 Months,6,130754,['2 Weeks off 6 Months']
9058,5 Months,5,147750,[]
9058,4 Months,4,147750,[]
9058,3 Months,3,147750,[]
9392,12 Months,12,124379,['1 Month off 12 Months']
9392,11 Months,11,141375,[]
9392,10 Months,10,141375,[]
9392,9 Months,9,141375,[]
9392,8 Months,8,141375,[]
9392,7 Months,7,141375,[]
9392,6 Months,6,130754,['2 Weeks off 6 Months']
9392,5 Months,5,147750,[]
9392,4 Months,4,147750,[]
9392,3 Months,3,147750,[]
9103,12 Months,12,124379,['1 Month off 12 Months']
9103,11 Months,11,141375,[]
9103,10 Months,10,141375,[]
9103,9 Months,9,141375,[]
9103,8 Months,8,141375,[]
9103,7 Months,7,141375,[]
9103,6 Months,6,130754,['2 Weeks off 6 Months']
9103,5 Months,5,147750,[]
9103,4 Months,4,147750,[]
9103,3 Months,3,147750,[]
9051,12 Months,12,124379,['1 Month off 12 Months']
9051,11 Months,11,141375,[]
9051,10 Months,10,141375,[]
9051,9 Months,9,141375,[]
9051,8 Months,8,141375,[]
9051,7 Months,7,141375,[]
